"RiderNo.,Rider Name"
"36,Simon Buckmaster"
"36,Karl Truchsess"
"36,Kunio Machii"
"36,Cees Doorakkers"
"37,Augusto Fernández"
"37,Miguel Tey"
"37,Steve Martin"
"37,Frédéric Protat"
"37,Hervé Moineau"
"37,Simon Crafar"
"37,Juan López Mella"
"37,Michele Valdo"
"37,Josef Doppler"
"37,Vittorio Scatola"
"37,Simon Buckmaster"
"37,Kunio Machii"
"37,Marco Papa"
"37,Hikaru Miyagi"
"38,Bradley Smith"
"38,Antonio Irizar"
"38,Ermanno Bastianini"
"38,Corrado Catalano"
"38,Michele Valdo"
"38,Josef Doppler"
"38,Hans Becker"
"38,Osamu Hiwatashi"
"38,Marco Papa"
"39,Gregorio Lavilla"
"39,Alessandro Gramigni"
"39,Lee Pullan"
"39,James Haydon"
"39,Toshihiko Honma"
"39,Michael Rudroff"
"39,Michele Valdo"
"39,Simon Buckmaster"
"39,Keiji Ohishi"
"39,Shinichi Ito"
"40,Darryn Binder"
"40,Héctor Barberá"
"40,José Kuhn"
"40,Neil Hodgson"
"40,Jehan d’Orgeix"
"40,Andrew Stroud"
"40,Hans Becker"
"40,Satoshi Tsujimoto"
"40,Michele Valdo"
"41,Aleix Espargaró"
"41,Josh Hayes"
"41,Gábor Talmácsi"
"41,Youichi Ui"
"41,Noriyuki Haga"
"41,Shinichi Itoh"
"41,Enrique de Juan"
"41,Andrew Stroud"
"41,Darren Dixon"
"41,Keiichiro Iwahashi"
"41,Shinji Katayama"
"41,Cees Doorakkers"
"42,Álex Rins"
"42,Craig Connell"
"42,Peter Goddard"
"42,Paul Pellissier"
"42,Andrew Stroud"
"42,Alois Meyer"
"42,Vittorio Scatola"
"43,Jack Miller"
"43,Kris McLaren"
"43,Akira Ryō"
"43,Paolo Tessari"
"43,David Jefferies"
"43,Karl Truchsess"
"43,Keiji Ohishi"
"43,Rachel Nicotte"
"44,Pol Espargaró"
"44,Michael Barnes"
"44,David Salom"
"44,Aleix Espargaró"
"44,Roberto Rolfo"
"44,Chris Walker"
"44,Marc Garcia"
"44,Alan Scott"
"44,Tadahiko Taira"
"44,Kenmei Matsumoto"
"45,Tetsuta Nagashima"
"45,Scott Redding"
"45,Martin Bauer"
"45,Naoki Matsudo"
"45,Colin Edwards"
"45,Wataru Yoshikawa"
"45,John Allen"
"45,Scott Russell"
"45,Ron Haslam"
"45,Toshihiko Honma"
"46,Valentino Rossi"
"46,John McGuinness"
"46,Peter Goddard"
"46,Robbie Petersen"
"48,Jorge Lorenzo"
"48,Akira Yanagawa"
"48,Marty Craggill"
"49,Fabio Di Giannantonio"
"50,Sylvain Guintoli"
"50,Eugene Laverty"
"50,Damian Cudlin"
"50,Neil Hodgson"
"50,Noriyuki Haga"
"50,Niall Mackenzie"
"50,Norihiko Fujiwara"
"50,Vincenzo Cascino"
"51,Michele Pirro"
"51,Yukio Kagayama"
"51,Norihiko Fujiwara"
"51,Jean-Pierre Jeandat"
"51,Jean-Marc Delétang"
"52,Lukáš Pešek"
"52,James Toseland"
"52,José David de Gea"
"52,Norihiko Fujiwara"
"52,Takuma Aoki"
"52,Martin Craggill"
"52,Scott Doohan"
"53,Tito Rabat"
"53,Russel Wood"
"53,Francesco Monaco"
"53,Katsuaki Fujiwara"
"53,Shinichi Ito"
"54,Mattia Pasini"
"54,Ryuichi Kiyonari"
"54,Michael Rudroff"
"54,Keiichiro Iwahashi"
"55,Hafizh Syahrin"
"55,Damian Cudlin"
"55,Régis Laconi"
"55,Regis Laconi"
"55,Niggi Schmassmann"
"55,Takuma Aoki"
"55,Keiji Ohishi"
"55,Marco Papa"
"55,Carl Fogarty"
"56,Jonathan Rea"
"56,Shinya Nakano"
"56,Tekkyu Kayoh"
"56,Toshihiko Honma"
"56,Norifumi Abe"
"56,Norick Abe"
"57,Chaz Davies"
"57,Fabio Carpani"
"57,Toshihiko Honma"
"57,Satoshi Tsujimoto"
"58,Marco Simoncelli"
"58,Felisberto Teixeira"
"58,Daryl Beattie"
"59,Sete Gibernau"
"59,Niggi Schmassmann"
"60,Michael van der Mark"
"60,Jörg Schöllhorn"
"60,Mike Wilson"
"61,Jamie Whitham"
"62,Manfred Erhardt"
"62,Carl Fogarty"
"63,Francesco Bagnaia"
"63,Mike Di Meglio"
"63,Gianmaria Liverani"
"63,Udo Mark"
"63,Juan Garriga"
"63,Terry Rymer"
"64,Kousuke Akiyoshi"
"64,Yukio Kagayama"
"64,Andrea Zambotti"
"64,Bruno Bonhuil"
"65,Loris Capirossi"
"65,Bernard Garcia"
"66,Alex Hofmann"
"66,Marco Papa"
"66,Niggi Schmassmann"
"66,Russell Wood"
"67,Bryan Staring"
"67,Shane Byrne"
"67,Hans Wieser"
"68,Yonny Hernández"
"68,Mark Willis"
"68,John McGuinness"
"68,Carl Fogarty"
"69,Nicky Hayden"
"69,Jamie Whitham"
"69,Karl Truchsess"
"69,James Haydon"
"69,Philippe Monneret"
"70,Michael Laverty"
"70,Florian Ferracci"
"70,Marco Papa"
"70,Carl Fogarty"
"71,Claudio Corti"
"71,Carlos Checa"
"71,Chris Vermeulen"
"71,Yukio Kagayama"
"71,Noriyasu Numata"
"71,Juan Pablo Gianini"
"71,Pierfrancesco Chili"
"72,Marco Bezzecchi"
"72,Takumi Takahashi"
"72,Shinichi Ito"
"72,Yuki Takahashi"
"72,Tohru Ukawa"
"72,Fernando Cristóbal"
"72,Michael Liedl"
"72,Aldeo Presciutti"
"73,Álex Márquez"
"73,Hiroshi Aoyama"
"73,Nick Hopkins"
"73,Romolo Balbi"
"74,Daijiro Kato"
"74,Cees Doorakkers"
"74,Danny Walker"
"76,Loris Baz"
"76,Dario Marchetti"
"77,Javier del Amor"
"77,James Ellison"
"77,Eskil Suter"
